Replacement,Original

I,i

I'm,i'm

I've,i've

I'll,i'll

I'd,i'd

Monday,monday

Mondays,mondays

Tuesday,tuesday

Tuesdays,tuesdays

Wednesday,wednesday

Wednesdays,wednesdays

Thursday,thursday

Thursdays,thursdays

Friday,friday

Fridays,fridays

Saturday,saturday

Saturdays,saturdays

Sunday,sunday

Sundays,sundays

January,january

February,february

April,april

June,june

July,july

August,august

September,september

October,october

November,november

December,december

mesh,mash

sparse,spars

hexahedral,hex anhedral

denote,the note
denotes,the notes

Bernoulli,Burney
Mindlin,Medlen
Euler,Oiler

weighted residual,waited residual

Kirchhoff-Love,carhop love
